,date,month,year,id,name,room_type,neighbourhood,neighbourhood_group,price,minimum_nights,rented_365
0,2018-01-01,2018-01,2018,21937326,Master bed room - 5 mins ride to CBD,Private room,Geylang,Central Region,500,180,275
1,2018-01-01,2018-01,2018,756267,East Coast Boutique,Private room,Marine Parade,Central Region,250,92,365
2,2018-01-01,2018-01,2018,8180346,The Zen Room,Private room,Tampines,East Region,45,92,184
3,2018-01-01,2018-01,2018,18674998,Cozy Premium Studio In Orchard Road (300 sqft),Hotel room,River Valley,Central Region,200,6,20
4,2018-01-01,2018-01,2018,13254555,Double Central Living Shopping Mall Condo MRT,Private room,Bukit Merah,Central Region,132,92,365
5,2018-01-01,2018-01,2018,14530157,65m2 cozy condo with pool near Paya Lebar MRT,Entire home/apt,Geylang,Central Region,89,365,365
6,2018-01-01,2018-01,2018,11971734,"A 3-5mins to Kovan MRT, 20mins to City,Quiet,Clean",Private room,Hougang,North-East Region,44,365,185
7,2018-01-01,2018-01,2018,21937326,Master bed room - 5 mins ride to CBD,Private room,Geylang,Central Region,500,180,275
8,2018-01-01,2018-01,2018,17016908,TripleOne. A cozy 3-bedroom apartment in Woodlands,Entire home/apt,Woodlands,North Region,275,3,91
9,2018-01-01,2018-01,2018,20016031,Lux 2Br at Tg Pagar  / Shenton Way,Entire home/apt,Outram,Central Region,399,92,0
10,2018-01-01,2018-01,2018,9866651,Private Pod in Mix 14 Dorm (2),Shared room,Kallang,Central Region,47,92,0
11,2018-01-01,2018-01,2018,21553387,Giffard Mansion @ Balestier,Private room,Novena,Central Region,99,92,7
12,2018-01-01,2018-01,2018,9268680,Private room- 7 bed (Shared toilet),Private room,Kallang,Central Region,145,92,0
13,2018-01-01,2018-01,2018,8890247,Private room- 4 bed (Shared toilet),Private room,Kallang,Central Region,85,365,0
14,2018-01-01,2018-01,2018,16183428,Instant Double Bed Capsule,Hotel room,Kallang,Central Region,47,92,100
15,2018-01-01,2018-01,2018,982909,Amazing Sunset Home @Central Area,Private room,Novena,Central Region,90,92,220
16,2018-01-01,2018-01,2018,17769862,*Cozy Room @ City Center,Private room,Kallang,Central Region,51,92,52
17,2018-01-01,2018-01,2018,13274269,DORMS - Excellent location in Chinatown,Hotel room,Outram,Central Region,31,92,0
18,2018-01-01,2018-01,2018,15310627,4 Star CBD Apartment Tanjong Pagar MRT,Entire home/apt,Outram,Central Region,140,92,168
19,2018-01-01,2018-01,2018,4664392,CS S3 Central studio with private bath & kitchen!,Entire home/apt,Outram,Central Region,115,92,220
20,2018-01-01,2018-01,2018,13243736,Charming 2Bed-2Bath- Parking Full Apartment,Entire home/apt,Bishan,Central Region,209,92,35
21,2018-01-01,2018-01,2018,10020690,DOUBLE BED IN CAPSULE HOSTEL RM4,Hotel room,Kallang,Central Region,47,92,101
22,2018-01-01,2018-01,2018,2387715,"City Private room 2-pax near MRT, shared toilet",Private room,Kallang,Central Region,98,1,10
23,2018-01-01,2018-01,2018,8800763,Quaint & Chic Soho (Long Stay),Private room,Marine Parade,Central Region,89,92,365
24,2018-01-01,2018-01,2018,606784,"Ensuite room, pool, near airport, expo and sutd.",Private room,Tampines,East Region,83,92,274
25,2018-01-01,2018-01,2018,4008423,"City 1-Pax Private Room, Shared Toilet",Private room,Kallang,Central Region,62,1,17
26,2018-01-01,2018-01,2018,21854678,Studio Amaze~Cozy Serviced Apartment with WIFI,Entire home/apt,Kallang,Central Region,172,7,101
27,2018-01-01,2018-01,2018,20512779,Spacious Room in Lush Green Terrace House,Private room,Bukit Timah,Central Region,90,92,276
28,2018-01-01,2018-01,2018,21415749,Luxury Capsule (Single - Mixed) [Kampong Glam],Hotel room,Rochor,Central Region,92,92,117
29,2018-01-01,2018-01,2018,12367388,Single Capsule for 1,Hotel room,Kallang,Central Region,27,92,86
30,2018-01-01,2018-01,2018,5827998,The Lily Room,Private room,Tampines,East Region,60,92,306
31,2018-01-01,2018-01,2018,6716844,4-person Bunk/Loft Bed Private Room,Private room,Rochor,Central Region,120,92,365
32,2018-01-01,2018-01,2018,21888290,Stylish 1 BR apartment near MRT & City Centre,Entire home/apt,Geylang,Central Region,129,92,9
33,2018-01-01,2018-01,2018,12211392,Single Capsule For 1,Shared room,Rochor,Central Region,26,92,101
34,2018-01-01,2018-01,2018,12484261,"City room 5mins to Haji, near Suntec/MBS/Merlion",Private room,Rochor,Central Region,64,92,365
35,2018-01-01,2018-01,2018,5889741,Entire Home in the Heart of City,Entire home/apt,Rochor,Central Region,173,92,244
36,2018-01-02,2018-01,2018,10013630,The Center of Singapore; China Town - W/A 83148119,Entire home/apt,Outram,Central Region,465,92,169
37,2018-01-02,2018-01,2018,1654840,3-person Bunk/Loft Bed Pte Room,Private room,Rochor,Central Region,90,92,365
38,2018-01-02,2018-01,2018,1024986,Super Host Apartment,Entire home/apt,River Valley,Central Region,170,92,30
39,2018-01-02,2018-01,2018,5493930,Luxurious En Suite 1 Near Orchard,Private room,Novena,Central Region,200,92,191
